id,player_name,age,games,games_started,minutes_played,field_goals,field_attempts,field_percent,three_fg,three_attempts,three_percent,two_fg,two_attempts,two_percent,effect_fg_percent,ft,fta,ft_percent,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,team,season
553,Bradley Beal,29,50,50,1673,444,878,0.506,80,219,0.365,364,659,0.552,0.551,192,228,0.842,41,155,196,271,45,33,145,107,1160,WAS,2023
1260,Bradley Beal,28,40,40,1439,348,771,0.451,63,210,0.3,285,561,0.508,0.492,169,203,0.833,38,151,189,265,36,15,135,95,928,WAS,2022
1886,Bradley Beal,27,60,60,2147,670,1382,0.485,130,373,0.349,540,1009,0.535,0.532,408,459,0.889,72,211,283,265,69,22,187,140,1878,WAS,2021
2484,Bradley Beal,26,57,57,2053,593,1303,0.455,170,481,0.353,423,822,0.515,0.52,385,457,0.842,52,190,242,347,71,23,194,126,1741,WAS,2020
3105,Bradley Beal,25,82,82,3028,764,1609,0.475,209,596,0.351,555,1013,0.548,0.54,362,448,0.808,89,322,411,448,121,58,224,226,2099,WAS,2019
3718,Bradley Beal,24,82,82,2977,683,1484,0.46,199,530,0.375,484,954,0.507,0.527,292,369,0.791,61,302,363,373,96,36,214,160,1857,WAS,2018
4256,Bradley Beal,23,77,77,2684,637,1322,0.482,223,552,0.404,414,770,0.538,0.566,282,342,0.825,53,187,240,267,83,21,156,169,1779,WAS,2017
4791,Bradley Beal,22,55,35,1708,359,799,0.449,105,271,0.387,254,528,0.481,0.515,135,176,0.767,41,147,188,162,54,11,112,117,958,WAS,2016
5366,Bradley Beal,21,63,59,2107,363,851,0.427,106,259,0.409,257,592,0.434,0.489,130,166,0.783,57,184,241,194,76,18,123,136,962,WAS,2015
5913,Bradley Beal,20,73,73,2530,481,1149,0.419,138,343,0.402,343,806,0.426,0.479,149,189,0.788,54,219,273,243,71,18,128,153,1249,WAS,2014
6432,Bradley Beal,19,56,46,1745,282,687,0.41,91,236,0.386,191,451,0.424,0.477,125,159,0.786,43,168,211,137,50,29,90,113,780,WAS,2013
127,David Roddy,21,70,4,1258,180,420,0.429,65,212,0.307,115,208,0.553,0.506,41,65,0.631,50,143,193,59,29,19,57,107,466,MEM,2023
83,Yuta Watanabe,28,58,1,928,114,232,0.491,60,135,0.444,54,97,0.557,0.621,34,47,0.723,30,111,141,48,25,17,22,80,322,BRK,2023
739,Yuta Watanabe,27,38,4,445,56,138,0.406,27,79,0.342,29,59,0.492,0.504,24,40,0.6,18,74,92,21,11,16,19,38,163,TOR,2022
1455,Yuta Watanabe,26,50,4,723,79,180,0.439,36,90,0.4,43,90,0.478,0.539,24,29,0.828,36,123,159,40,26,19,19,57,218,TOR,2021
2084,Yuta Watanabe,25,18,0,105,15,34,0.441,3,8,0.375,12,26,0.462,0.485,3,8,0.375,7,13,20,5,5,1,2,9,36,MEM,2020
2695,Yuta Watanabe,24,15,0,174,15,51,0.294,2,16,0.125,13,35,0.371,0.314,7,10,0.7,4,27,31,8,4,1,6,11,39,MEM,2019
273,Udoka Azubuike,23,36,4,359,59,72,0.819,0,0,,59,72,0.819,0.819,7,20,0.35,31,88,119,11,6,15,18,34,125,UTA,2023
926,Udoka Azubuike,22,17,6,195,37,49,0.755,0,0,,37,49,0.755,0.755,6,11,0.545,18,53,71,0,1,11,12,25,80,UTA,2022
1619,Udoka Azubuike,21,15,0,57,4,9,0.444,0,0,,4,9,0.444,0.444,8,10,0.8,4,9,13,0,1,4,3,9,16,UTA,2021
601,Théo Maledon,21,44,7,854,102,254,0.402,28,95,0.295,74,159,0.465,0.457,63,74,0.851,14,109,123,152,37,12,59,61,295,CHO,2023
896,Théo Maledon,20,51,7,908,119,317,0.375,44,150,0.293,75,167,0.449,0.445,79,100,0.79,20,111,131,111,31,11,65,67,361,OKC,2022
1581,Théo Maledon,19,65,49,1778,226,614,0.368,105,313,0.335,121,301,0.402,0.454,101,135,0.748,25,186,211,227,56,11,141,126,658,OKC,2021
430,Damion Lee,30,74,5,1506,200,452,0.442,110,247,0.445,90,205,0.439,0.564,94,104,0.904,39,186,225,99,30,7,78,118,604,PHO,2023
1150,Damion Lee,29,63,5,1256,169,383,0.441,63,187,0.337,106,196,0.541,0.523,66,75,0.88,27,176,203,63,39,6,38,95,467,GSW,2022
1796,Damion Lee,28,57,1,1079,128,274,0.467,77,194,0.397,51,80,0.638,0.608,40,44,0.909,22,158,180,73,38,8,30,89,373,GSW,2021
2382,Damion Lee,27,49,36,1423,213,511,0.417,85,239,0.356,128,272,0.471,0.5,110,126,0.873,32,207,239,133,50,6,67,116,621,GSW,2020
3017,Damion Lee,26,32,0,375,56,127,0.441,27,68,0.397,29,59,0.492,0.547,19,22,0.864,8,56,64,13,13,0,11,28,158,GSW,2019
3711,Damion Lee,25,15,11,404,62,152,0.408,15,60,0.25,47,92,0.511,0.457,22,29,0.759,11,60,71,29,19,1,14,25,161,ATL,2018
